userid,courseid,week_number,click_count
2,1,0,53
2,1,1,2
2,1,3,23
2,1,4,15
2,1,6,15
2,1,7,6
2,1,9,12
2,1,10,22
2,1,11,8
2,1,12,9
2,1,13,9
2,1,14,3
2,1,18,1
2,1,20,18
2,1,21,4
2,1,22,1
2,1,23,2
2,1,25,2
2,1,26,1
2,1,31,4
2,1,33,4
2,1,35,1
2,1,39,12
2,1,42,3
2,1,45,2
2,1,46,2
2,1,48,10
2,1,49,1
2,1,56,2
3,1,0,1
3,1,5,1
3,1,6,1
3,1,10,8
3,1,14,2
3,1,15,3
3,1,20,5
3,1,21,2
3,1,22,2
3,1,23,8
3,1,24,2
3,1,25,4
3,1,26,4
3,1,31,6
3,1,32,2
3,1,33,1
3,1,48,13
3,1,49,10
3,1,50,14
3,1,51,8
4,1,6,1
4,1,31,5
4,1,49,1
4,1,50,1
5,1,0,7
5,1,1,8
5,1,3,2
45,1,0,1
46,1,4,3
48,1,1,1
49,1,1,2
50,1,12,2
53,1,1,1
58,1,47,1
59,1,5,2
61,1,7,1
61,1,8,1
61,1,13,1
61,1,19,2
61,1,31,3
61,1,32,1
61,1,47,1
61,1,55,3
62,1,44,1
63,1,49,5
63,1,50,1
64,1,2,2
64,1,51,1
64,1,57,1
65,1,3,8
65,1,10,1
65,1,32,1
65,1,41,2
65,1,45,1
65,1,50,1
67,1,13,1
67,1,20,4
67,1,21,3
67,1,22,5
67,1,26,2
67,1,27,1
67,1,28,2
67,1,30,2
67,1,31,1
67,1,37,1
68,1,20,1
68,1,40,3
68,1,50,2
69,1,2,3
69,1,3,2
69,1,4,5
69,1,6,3
69,1,14,1
69,1,25,3
69,1,40,1
70,1,9,1
70,1,11,1
70,1,19,1
70,1,48,3
71,1,43,1
72,1,4,3
72,1,10,2
72,1,43,1
72,1,47,2
72,1,51,1
72,1,58,2
73,1,7,5
73,1,9,1
73,1,13,2
73,1,19,1
73,1,30,1
73,1,34,1
73,1,43,1
73,1,44,1
73,1,48,2
73,1,50,1
73,1,56,1
73,1,58,1
74,1,3,3
74,1,10,1
74,1,12,1
74,1,23,1
74,1,25,1
74,1,30,1
74,1,31,1
74,1,35,1
74,1,45,1
75,1,3,13
75,1,4,15
75,1,5,11
75,1,6,2
75,1,7,7
75,1,8,1
75,1,9,12
75,1,10,7
75,1,11,2
75,1,12,8
75,1,13,2
75,1,14,1
75,1,15,2
75,1,16,2
75,1,17,4
75,1,18,3
75,1,19,5
75,1,20,1
75,1,25,1
75,1,26,15
75,1,27,7
75,1,28,5
75,1,29,3
75,1,30,9
75,1,31,2
75,1,32,7
