userid,courseid,quizid,attemptid,raw_timefinish,local_timefinish
68,25,9,,,
69,25,9,,,
114,25,9,,,
115,25,9,,,
116,25,9,,,
117,25,9,,,
118,25,9,,,
119,25,9,,,
120,25,9,,,
121,25,9,,,
122,25,9,,,
123,25,9,,,
124,25,9,,,
125,25,9,,,
126,25,9,,,
127,25,9,,,
128,25,9,,,
129,25,9,,,
130,25,9,,,
131,25,9,,,
132,25,9,,,
133,25,9,,,
134,25,9,,,
135,25,9,,,
136,25,9,,,
137,25,9,,,
138,25,9,,,
139,25,9,,,
140,25,9,,,
141,25,9,,,
142,25,9,,,
143,25,9,,,
144,25,9,,,
145,25,9,,,
146,25,9,,,
147,25,9,,,
148,25,9,,,
149,25,9,,,
150,25,9,,,
151,25,9,,,
152,25,9,,,
153,25,9,,,
154,25,9,,,
2,45,11,26,1751384593,2025-07-01 22:43:13
2,45,12,25,1751383849,2025-07-01 22:30:49
2,45,13,,,
5,45,11,,,
5,45,12,,,
5,45,13,,,
62,45,11,,,
62,45,12,,,
62,45,13,,,
67,45,11,,,
67,45,12,,,
67,45,13,,,
68,45,11,,,
68,45,12,,,
68,45,13,,,
820,45,11,112,1752505556,2025-07-14 22:05:56
820,45,12,108,1752499489,2025-07-14 20:24:49
820,45,12,109,1752499612,2025-07-14 20:26:52
820,45,13,111,1752503784,2025-07-14 21:36:24
821,45,11,,,
821,45,12,,,
821,45,13,,,
822,45,11,60,1751592685,2025-07-04 08:31:25
822,45,11,61,1751592822,2025-07-04 08:33:42
822,45,12,56,1751560746,2025-07-03 23:39:06
822,45,12,57,1751560955,2025-07-03 23:42:35
822,45,13,58,1751569026,2025-07-04 01:57:06
822,45,13,59,1751569157,2025-07-04 01:59:17
823,45,11,80,1751818397,2025-07-06 23:13:17
823,45,12,77,1751811200,2025-07-06 21:13:20
823,45,12,78,1751811344,2025-07-06 21:15:44
823,45,13,79,1751815788,2025-07-06 22:29:48
824,45,11,,,
824,45,12,,,
824,45,13,,,
825,45,11,86,1751901915,2025-07-07 22:25:15
825,45,12,50,1751555465,2025-07-03 22:11:05
825,45,13,85,1751893635,2025-07-07 20:07:15
826,45,11,,,
826,45,12,,,
826,45,13,,,
827,45,11,,,
827,45,12,,,
827,45,13,,,
828,45,11,,,
828,45,12,,,
828,45,13,,,
829,45,11,,,
829,45,12,,,
829,45,13,,,
830,45,11,64,1751606192,2025-07-04 12:16:32
830,45,12,28,1751467936,2025-07-02 21:52:16
830,45,12,65,1751606246,2025-07-04 12:17:26
830,45,13,29,1751468119,2025-07-02 21:55:19
830,45,13,66,1751606299,2025-07-04 12:18:19
831,45,11,53,1751558620,2025-07-03 23:03:40
831,45,11,54,1751558861,2025-07-03 23:07:41
831,45,12,27,1751447696,2025-07-02 16:14:56
831,45,13,37,1751515434,2025-07-03 11:03:54
832,45,11,98,1752193443,2025-07-11 07:24:03
832,45,12,51,1751555956,2025-07-03 22:19:16
832,45,13,97,1752193316,2025-07-11 07:21:56
833,45,11,116,1752549518,2025-07-15 10:18:38
833,45,12,55,1752549238,2025-07-15 10:13:58
833,45,13,115,1752549408,2025-07-15 10:16:48
834,45,11,,,
834,45,12,,,
834,45,13,,,
835,45,11,,,
835,45,12,,,
835,45,13,,,
836,45,11,,,
836,45,12,,,
836,45,13,,,
837,45,11,,,
837,45,12,,,
837,45,13,,,
838,45,11,,,
838,45,12,,,
838,45,13,,,
839,45,11,89,1751990585,2025-07-08 23:03:05
839,45,12,74,1751687701,2025-07-05 10:55:01
839,45,13,88,1751989248,2025-07-08 22:40:48
840,45,11,,,
840,45,12,,,
840,45,13,,,
841,45,11,104,1752492766,2025-07-14 18:32:46
841,45,12,62,1751593802,2025-07-04 08:50:02
841,45,13,67,1751606869,2025-07-04 12:27:49
842,45,11,107,1752499180,2025-07-14 20:19:40
842,45,12,105,1752498859,2025-07-14 20:14:19
842,45,13,106,1752499062,2025-07-14 20:17:42
843,45,11,,,
843,45,12,,,
843,45,13,,,
844,45,11,84,1751878431,2025-07-07 15:53:51
844,45,12,81,1751878036,2025-07-07 15:47:16
844,45,12,82,1751878087,2025-07-07 15:48:07
844,45,13,83,1751878231,2025-07-07 15:50:31
845,45,11,,,
845,45,12,,,
845,45,13,,,
846,45,11,120,1752550547,2025-07-15 10:35:47
846,45,11,121,1752550638,2025-07-15 10:37:18
846,45,12,117,1752550060,2025-07-15 10:27:40
846,45,12,118,1752550134,2025-07-15 10:28:54
846,45,13,119,1752550289,2025-07-15 10:31:29
847,45,11,,,
847,45,12,,,
847,45,13,,,
848,45,11,,,
848,45,12,,,
848,45,13,,,
849,45,11,39,1751533507,2025-07-03 16:05:07
849,45,11,40,1751533643,2025-07-03 16:07:23
849,45,12,33,1751508391,2025-07-03 09:06:31
849,45,12,42,1751534448,2025-07-03 16:20:48
849,45,13,38,1751517281,2025-07-03 11:34:41
849,45,13,41,1751534400,2025-07-03 16:20:00
850,45,11,,,
850,45,12,,,
850,45,13,,,
851,45,11,110,1752503458,2025-07-14 21:30:58
