userid,courseid,week_number,total_clicks,late_night_clicks,late_night_activity_ratio
2,1,0,53,0,0.0000
2,1,1,2,0,0.0000
2,1,3,23,0,0.0000
2,1,4,15,0,0.0000
2,1,6,15,0,0.0000
2,1,7,6,0,0.0000
2,1,9,12,0,0.0000
2,1,10,22,0,0.0000
2,1,11,8,0,0.0000
2,1,12,9,0,0.0000
2,1,13,9,0,0.0000
2,1,14,3,0,0.0000
2,1,18,1,0,0.0000
2,1,20,18,0,0.0000
2,1,21,4,0,0.0000
2,1,22,1,0,0.0000
2,1,23,2,0,0.0000
2,1,25,2,0,0.0000
2,1,26,1,0,0.0000
2,1,31,4,0,0.0000
2,1,33,4,0,0.0000
2,1,35,1,0,0.0000
2,1,39,12,0,0.0000
2,1,42,3,0,0.0000
2,1,45,2,0,0.0000
2,1,46,2,0,0.0000
2,1,48,10,3,0.3000
2,1,49,1,0,0.0000
2,1,56,2,0,0.0000
3,1,0,1,0,0.0000
3,1,5,1,0,0.0000
3,1,6,1,0,0.0000
3,1,10,8,0,0.0000
3,1,14,2,0,0.0000
3,1,15,3,0,0.0000
3,1,20,5,0,0.0000
3,1,21,2,0,0.0000
3,1,22,2,0,0.0000
3,1,23,8,0,0.0000
3,1,24,2,0,0.0000
3,1,25,4,0,0.0000
3,1,26,4,0,0.0000
3,1,31,6,0,0.0000
3,1,32,2,0,0.0000
3,1,33,1,0,0.0000
3,1,48,13,0,0.0000
3,1,49,10,0,0.0000
3,1,50,14,0,0.0000
3,1,51,8,0,0.0000
4,1,6,1,0,0.0000
4,1,31,5,0,0.0000
4,1,49,1,0,0.0000
4,1,50,1,0,0.0000
5,1,0,7,0,0.0000
5,1,1,8,0,0.0000
5,1,3,2,0,0.0000
45,1,0,1,0,0.0000
46,1,4,3,0,0.0000
48,1,1,1,0,0.0000
49,1,1,2,0,0.0000
50,1,12,2,0,0.0000
53,1,1,1,0,0.0000
58,1,47,1,0,0.0000
59,1,5,2,0,0.0000
61,1,7,1,0,0.0000
61,1,8,1,0,0.0000
61,1,13,1,0,0.0000
61,1,19,2,0,0.0000
61,1,31,3,0,0.0000
61,1,32,1,0,0.0000
61,1,47,1,0,0.0000
61,1,55,3,0,0.0000
62,1,44,1,0,0.0000
63,1,49,5,0,0.0000
63,1,50,1,0,0.0000
64,1,2,2,0,0.0000
64,1,51,1,0,0.0000
64,1,57,1,0,0.0000
65,1,3,8,0,0.0000
65,1,10,1,0,0.0000
65,1,32,1,0,0.0000
65,1,41,2,0,0.0000
65,1,45,1,0,0.0000
65,1,50,1,0,0.0000
67,1,13,1,0,0.0000
67,1,20,4,1,0.2500
67,1,21,3,0,0.0000
67,1,22,5,0,0.0000
67,1,26,2,0,0.0000
67,1,27,1,0,0.0000
67,1,28,2,0,0.0000
67,1,30,2,0,0.0000
67,1,31,1,0,0.0000
67,1,37,1,0,0.0000
68,1,20,1,0,0.0000
68,1,40,3,0,0.0000
68,1,50,2,0,0.0000
69,1,2,3,0,0.0000
69,1,3,2,0,0.0000
69,1,4,5,0,0.0000
69,1,6,3,0,0.0000
69,1,14,1,0,0.0000
69,1,25,3,3,1.0000
69,1,40,1,0,0.0000
70,1,9,1,0,0.0000
70,1,11,1,0,0.0000
70,1,19,1,0,0.0000
70,1,48,3,0,0.0000
71,1,43,1,0,0.0000
72,1,4,3,0,0.0000
72,1,10,2,0,0.0000
72,1,43,1,1,1.0000
72,1,47,2,0,0.0000
72,1,51,1,0,0.0000
72,1,58,2,0,0.0000
73,1,7,5,0,0.0000
73,1,9,1,0,0.0000
73,1,13,2,2,1.0000
73,1,19,1,0,0.0000
73,1,30,1,1,1.0000
73,1,34,1,0,0.0000
73,1,43,1,1,1.0000
73,1,44,1,0,0.0000
73,1,48,2,0,0.0000
73,1,50,1,0,0.0000
73,1,56,1,0,0.0000
73,1,58,1,0,0.0000
74,1,3,3,0,0.0000
74,1,10,1,0,0.0000
74,1,12,1,0,0.0000
74,1,23,1,0,0.0000
74,1,25,1,0,0.0000
74,1,30,1,0,0.0000
74,1,31,1,0,0.0000
74,1,35,1,0,0.0000
74,1,45,1,0,0.0000
75,1,3,13,0,0.0000
75,1,4,15,0,0.0000
75,1,5,11,0,0.0000
75,1,6,2,0,0.0000
75,1,7,7,0,0.0000
75,1,8,1,0,0.0000
75,1,9,12,0,0.0000
75,1,10,7,0,0.0000
75,1,11,2,0,0.0000
75,1,12,8,0,0.0000
75,1,13,2,0,0.0000
75,1,14,1,0,0.0000
75,1,15,2,0,0.0000
75,1,16,2,0,0.0000
75,1,17,4,0,0.0000
75,1,18,3,0,0.0000
75,1,19,5,0,0.0000
75,1,20,1,0,0.0000
75,1,25,1,0,0.0000
75,1,26,15,0,0.0000
75,1,27,7,0,0.0000
75,1,28,5,0,0.0000
